"feature_id","checkout_ts","user_id","host_id","handle","request_ts","checkin_ts","tokens","account_id","version_id","loadinfo_id","origin"
18675,1531934049,55149,42312,4706,1531934049,1531934790,1,1,239,48790,1
18707,1531934049,55149,42312,2406,1531934049,1531934790,1,1,239,48790,1
218,1531934670,63012,54622,10305,1531934670,1531934790,1,1,35,48790,1
18841,1531934670,43612,53456,3233,1531934670,1531934790,1,1,1,48790,1
230,1531934551,1793,3952,1924,1531934551,1531934791,1,1,27,48790,1
6800,1531934671,15490,48636,17787,1531934671,1531934791,1,1,114,48790,1
118,1531934551,1793,3952,4170,1531934551,1531934791,1,1,27,48790,1
22743,1531934671,48537,48862,469,1531934671,1531934791,1,1,682,48790,1
22741,1531934671,48537,48862,261,1531934671,1531934791,1,1,682,48790,1
22742,1531934671,48537,48862,104,1531934671,1531934791,1,1,682,48790,1
22780,1531934671,48537,48862,727,1531934671,1531934791,1,1,682,48790,1
14,1531934551,6080,39458,21932,1531934551,1531934789,1,1,766,48790,1
191,1531934296,62694,3002,43115,1531934296,1531934789,1,1,761,48790,1
798,1531934551,6080,39458,66847,1531934551,1531934789,1,1,766,48790,1
225,1531934296,62562,25727,36446,1531934296,1531934789,1,1,733,48790,1
225,1531934551,6080,39458,106938,1531934551,1531934789,1,1,766,48790,1
781,1531934551,6080,39458,14536,1531934551,1531934789,1,1,766,48790,1
10690,1531934551,55910,39945,116547,1531934551,1531934789,1,1,807,48790,1
10691,1531934551,55910,39945,123460,1531934551,1531934789,1,1,807,48790,1
10692,1531934670,46341,30010,21138,1531934670,1531934789,1,1,807,48790,1
10695,1531934296,55910,39945,57719,1531934296,1531934789,1,1,807,48790,1
10695,1531934670,46341,30010,136175,1531934670,1531934789,1,1,807,48790,1
301,1531934429,69,44,135,1531934429,1531934791,1,1,821,48790,1
301,1531934671,5932,36312,6767,1531934671,1531934791,1,1,821,48790,1
302,1531934429,69,44,4088,1531934429,1531934791,1,1,733,48790,1
311,1531934671,5932,36312,2841,1531934671,1531934791,1,1,859,48790,1
2,1531918633,9267,41096,7702,1531918633,1531934859,1,1,852,48790,1
2,1531934624,57685,46409,18204,1531934624,1531934859,1,1,3,48790,1
20817,1531929727,8315,42629,24202,1531929727,1531934859,1,1,747,48790,1
20824,1531934629,53928,52742,16802,1531934629,1531934854,1,1,36,48790,1
281,1531934629,53928,52742,15805,1531934629,1531934854,1,1,21,48790,1
274,1531934629,53928,52742,16902,1531934629,1531934854,1,1,49,48790,1
19987,1531928515,56323,44220,1184,1531928515,1531934878,1,1,802,48790,1
19987,1531929734,6754,34661,36356,1531929734,1531934878,1,1,701,48790,1
19987,1531933536,59243,51904,18044,1531933536,1531934878,1,1,852,48790,1
20013,1531934395,62682,41952,7058,1531934395,1531934878,1,1,178,48790,1
253,1531934518,801,42215,15207,1531934518,1531934854,1,1,703,48790,1
259,1531934518,801,42215,3121,1531934518,1531934854,1,1,703,48790,1
249,1531934518,801,42215,15913,1531934518,1531934854,1,1,703,48790,1
205,1531934023,57907,46674,13314,1531934023,1531934875,1,1,734,48790,1
241,1531934412,54854,4384,3205,1531934412,1531934896,1,1,839,48790,1
241,1531934654,54854,4384,2906,1531934654,1531934896,1,1,839,48790,1
13815,1531933059,892,1882,3286,1531933059,1531934897,1,1,17,48790,1
13815,1531933181,8155,1882,26892,1531933181,1531934897,1,1,17,48790,1
13815,1531933920,62040,1882,3074,1531933920,1531934897,1,1,17,48790,1
13815,1531934040,72,1913,16038,1531934040,1531934897,1,1,17,48790,1
13827,1531933059,1329,1882,21063,1531933059,1531934897,1,1,17,48790,1
13827,1531933059,892,1882,24262,1531933059,1531934897,1,1,17,48790,1
13827,1531933181,8155,1882,6349,1531933181,1531934897,1,1,17,48790,1
13827,1531933920,62040,1882,7984,1531933920,1531934897,1,1,17,48790,1
307,1531928544,675,11862,5005,1531928544,1531934895,1,1,39,48790,1
5892,1531928544,675,11862,4905,1531928544,1531934895,1,1,17,48790,1
174,1531934780,6840,30598,2321,1531934780,1531934901,1,1,1,48790,1
7800,1531934416,58558,47582,122,1531934416,1531934901,1,1,39,48790,1
7810,1531934416,58558,47582,5000,1531934416,1531934901,1,1,17,48790,1
20901,1531933800,1593,4733,594,1531933800,1531934902,77,1,16,48790,1
64,1531929648,8086,6170,4905,1531929648,1531934903,1,1,35,48790,1
64,1531931597,19766,32779,7006,1531931597,1531934903,1,1,35,48790,1
64,1531932090,1667,39481,23303,1531932090,1531934903,1,1,35,48790,1
64,1531932572,1651,10477,16405,1531932572,1531934903,1,1,35,48790,1
64,1531933306,11229,8912,16310,1531933306,1531934903,1,1,35,48790,1
64,1531933559,8945,6770,25104,1531933559,1531934903,1,1,35,48790,1
