"id","feature_name_id","tag_id","checkout_count","denial_count","min_duration","max_duration","mean_duration","median_duration","stddev_duration","ckout_count","user_count","host_count"
1993,1,106,0,0,0,0,0,0,0,0,0,0
1980,2,106,0,0,0,0,0,0,0,0,0,0
1981,3,106,0,0,0,0,0,0,0,0,0,0
1982,4,106,0,0,0,0,0,0,0,0,0,0
1983,5,106,0,0,0,0,0,0,0,0,0,0
1975,6,106,0,0,0,0,0,0,0,0,0,0
1977,7,106,0,0,0,0,0,0,0,0,0,0
1976,8,106,0,0,0,0,0,0,0,0,0,0
1978,9,106,0,0,0,0,0,0,0,0,0,0
1964,10,106,0,0,0,0,0,0,0,0,0,0
1988,11,106,0,0,0,0,0,0,0,0,0,0
1989,12,106,0,0,0,0,0,0,0,0,0,0
1990,13,106,0,0,0,0,0,0,0,0,0,0
1985,14,106,0,0,0,0,0,0,0,0,0,0
1986,15,106,0,0,0,0,0,0,0,0,0,0
1987,16,106,0,0,0,0,0,0,0,0,0,0
2003,17,106,0,0,0,0,0,0,0,0,0,0
2002,18,106,0,0,0,0,0,0,0,0,0,0
2001,19,106,0,0,0,0,0,0,0,0,0,0
2000,20,106,0,0,0,0,0,0,0,0,0,0
2004,21,106,0,0,0,0,0,0,0,0,0,0
1995,22,106,0,0,0,0,0,0,0,0,0,0
1994,23,106,0,0,0,0,0,0,0,0,0,0
1999,24,106,0,0,0,0,0,0,0,0,0,0
1998,25,106,0,0,0,0,0,0,0,0,0,0
1997,26,106,0,0,0,0,0,0,0,0,0,0
1996,27,106,0,0,0,0,0,0,0,0,0,0
2009,28,106,0,0,0,0,0,0,0,0,0,0
2005,29,106,0,0,0,0,0,0,0,0,0,0
2008,30,106,0,0,0,0,0,0,0,0,0,0
2007,31,106,0,0,0,0,0,0,0,0,0,0
2019,32,106,0,0,0,0,0,0,0,0,0,0
2020,33,106,0,0,0,0,0,0,0,0,0,0
2018,34,106,0,0,0,0,0,0,0,0,0,0
2017,35,106,0,0,0,0,0,0,0,0,0,0
2014,36,106,0,0,0,0,0,0,0,0,0,0
2013,37,106,0,0,0,0,0,0,0,0,0,0
2016,38,106,0,0,0,0,0,0,0,0,0,0
2015,39,106,0,0,0,0,0,0,0,0,0,0
2010,40,106,0,0,0,0,0,0,0,0,0,0
2012,41,106,0,0,0,0,0,0,0,0,0,0
2011,42,106,0,0,0,0,0,0,0,0,0,0
2021,43,106,0,0,0,0,0,0,0,0,0,0
2023,44,106,0,0,0,0,0,0,0,0,0,0
2030,45,106,0,0,0,0,0,0,0,0,0,0
2029,46,106,0,0,0,0,0,0,0,0,0,0
2027,47,106,0,0,0,0,0,0,0,0,0,0
2026,48,106,0,0,0,0,0,0,0,0,0,0
2025,49,106,0,0,0,0,0,0,0,0,0,0
2040,50,106,0,0,0,0,0,0,0,0,0,0
2041,51,106,0,0,0,0,0,0,0,0,0,0
2038,52,106,0,0,0,0,0,0,0,0,0,0
2036,53,106,0,0,0,0,0,0,0,0,0,0
2037,54,106,0,0,0,0,0,0,0,0,0,0
2035,55,106,0,0,0,0,0,0,0,0,0,0
2033,56,106,0,0,0,0,0,0,0,0,0,0
2031,57,106,0,0,0,0,0,0,0,0,0,0
2032,58,106,0,0,0,0,0,0,0,0,0,0
2028,59,106,0,0,0,0,0,0,0,0,0,0
1951,60,106,0,0,0,0,0,0,0,0,0,0
1952,61,106,0,0,0,0,0,0,0,0,0,0
1953,62,106,0,0,0,0,0,0,0,0,0,0
1954,63,106,0,0,0,0,0,0,0,0,0,0
1955,64,106,0,0,0,0,0,0,0,0,0,0
1956,65,106,0,0,0,0,0,0,0,0,0,0
1958,66,106,0,0,0,0,0,0,0,0,0,0
1959,67,106,0,0,0,0,0,0,0,0,0,0
1960,68,106,0,0,0,0,0,0,0,0,0,0
1961,69,106,0,0,0,0,0,0,0,0,0,0
1962,70,106,0,0,0,0,0,0,0,0,0,0
1963,71,106,0,0,0,0,0,0,0,0,0,0
2024,72,106,0,0,0,0,0,0,0,0,0,0
1965,73,106,0,0,0,0,0,0,0,0,0,0
1966,74,106,0,0,0,0,0,0,0,0,0,0
2034,75,106,0,0,0,0,0,0,0,0,0,0
1971,76,106,0,0,0,0,0,0,0,0,0,0
1972,77,106,0,0,0,0,0,0,0,0,0,0
1973,78,106,0,0,0,0,0,0,0,0,0,0
1974,79,106,0,0,0,0,0,0,0,0,0,0
6098,80,20,2,0,0,0,0,0,0,0,0,0
11154,81,3,0,0,0,0,0,0,0,0,0,0
6372,82,22,0,0,0,0,0,0,0,0,0,0
20726,83,518,0,0,0,0,0,0,0,0,0,0
7881,84,213,78,9,5063,114870,35599,15953.5,42472.6908293519,8,1,1
2872,85,2,0,0,0,0,0,0,0,0,0,0
24291,86,601,0,0,0,0,0,0,0,0,0,0
2102,87,109,2,0,0,0,0,0,0,0,0,0
17956,88,451,0,0,0,0,0,0,0,0,0,0
1969,89,106,0,0,0,0,0,0,0,0,0,0
2047,90,107,0,0,0,0,0,0,0,0,0,0
24609,91,64,0,0,0,0,0,0,0,0,0,0
2045,92,107,0,0,0,0,0,0,0,0,0,0
2048,93,107,0,0,0,0,0,0,0,0,0,0
2093,94,109,0,0,0,0,0,0,0,0,0,0
2046,95,107,0,0,0,0,0,0,0,0,0,0
24176,96,601,0,0,0,0,0,0,0,0,0,0
21947,97,140,0,0,0,0,0,0,0,0,0,0
17870,88,93,0,0,0,0,0,0,0,0,0,0
19179,98,483,0,0,0,0,0,0,0,0,0,0
17873,99,45,1,0,0,0,0,0,0,0,0,0
10344,100,14,0,0,0,0,0,0,0,0,0,0
2104,101,109,0,0,0,0,0,0,0,0,0,0
2103,102,109,0,0,0,0,0,0,0,0,0,0
2094,103,109,0,0,0,0,0,0,0,0,0,0
2111,104,109,0,0,0,0,0,0,0,0,0,0
2097,105,109,2,0,0,0,0,0,0,0,0,0
2108,106,109,0,0,0,0,0,0,0,0,0,0
2107,107,109,0,0,0,0,0,0,0,0,0,0
2110,108,109,1,0,0,0,0,0,0,0,0,0
2095,109,109,0,0,0,0,0,0,0,0,0,0
2101,110,109,0,0,0,0,0,0,0,0,0,0
2098,111,109,0,0,0,0,0,0,0,0,0,0
19886,112,499,0,0,0,0,0,0,0,0,0,0
17909,113,65,2,0,0,0,0,0,0,0,0,0
1967,114,106,0,0,0,0,0,0,0,0,0,0
20133,115,506,0,0,0,0,0,0,0,0,0,0
4632,116,157,0,0,0,0,0,0,0,0,0,0
2109,117,109,0,0,0,0,0,0,0,0,0,0
2106,118,109,0,0,0,0,0,0,0,0,0,0
1968,119,106,0,0,0,0,0,0,0,0,0,0
1970,120,106,0,0,0,0,0,0,0,0,0,0
2053,121,108,0,0,0,0,0,0,0,0,0,0
2051,122,108,0,0,0,0,0,0,0,0,0,0
2057,123,108,0,0,0,0,0,0,0,0,0,0
2059,124,108,0,0,0,0,0,0,0,0,0,0
2055,125,108,0,0,0,0,0,0,0,0,0,0
2049,126,108,0,0,0,0,0,0,0,0,0,0
2061,127,108,0,0,0,0,0,0,0,0,0,0
2052,128,108,0,0,0,0,0,0,0,0,0,0
2050,129,108,0,0,0,0,0,0,0,0,0,0
2056,130,108,0,0,0,0,0,0,0,0,0,0
2054,131,108,0,0,0,0,0,0,0,0,0,0
17866,132,14,0,0,0,0,0,0,0,0,0,0
2078,133,19,0,1,0,0,0,0,0,0,0,0
2079,134,19,0,1,0,0,0,0,0,0,0,0
2080,135,19,0,1,0,0,0,0,0,0,0,0
2081,136,19,0,1,0,0,0,0,0,0,0,0
2067,137,108,0,0,0,0,0,0,0,0,0,0
2063,138,108,0,0,0,0,0,0,0,0,0,0
2064,139,108,0,0,0,0,0,0,0,0,0,0
2065,140,108,0,0,0,0,0,0,0,0,0,0
2066,141,108,0,0,0,0,0,0,0,0,0,0
2062,142,108,0,0,0,0,0,0,0,0,0,0
2068,143,108,0,0,0,0,0,0,0,0,0,0
2085,144,19,0,1,0,0,0,0,0,0,0,0
2086,145,19,0,1,0,0,0,0,0,0,0,0
2076,146,19,0,1,0,0,0,0,0,0,0,0
2077,147,19,0,1,0,0,0,0,0,0,0,0
2071,148,19,0,1,0,0,0,0,0,0,0,0
2072,149,19,0,1,0,0,0,0,0,0,0,0
2073,150,19,0,1,0,0,0,0,0,0,0,0
2069,151,19,0,1,0,0,0,0,0,0,0,0
2074,152,19,0,1,0,0,0,0,0,0,0,0
2075,153,19,0,1,0,0,0,0,0,0,0,0
2087,154,19,0,1,0,0,0,0,0,0,0,0
2088,155,19,0,1,0,0,0,0,0,0,0,0
2089,156,19,0,1,0,0,0,0,0,0,0,0
2090,157,19,0,1,0,0,0,0,0,0,0,0
2091,158,19,0,1,0,0,0,0,0,0,0,0
17869,159,93,0,0,0,0,0,0,0,0,0,0
2083,160,19,0,1,0,0,0,0,0,0,0,0
2084,161,19,0,1,0,0,0,0,0,0,0,0
